tick,market_price
1460,100.645
1461,100.638
1462,100.626
1463,100.619
1464,100.62
1465,100.624
1466,100.638
1467,100.692
1468,100.7
1469,100.704
1470,100.704
1471,100.706
1472,100.704
1473,100.705
1474,100.704
1475,100.705
1476,100.7
1477,100.704
1478,100.705
1479,100.71
1480,100.714
1481,100.713
1482,100.718
1483,100.719
1484,100.729
1485,100.728
1486,100.722
1487,100.722
1488,100.731
1489,100.734
1490,100.734
1491,100.736
1492,100.735
1493,100.737
1494,100.733
1495,100.734
1496,100.736
1497,100.736
1498,100.727
1499,100.726
1500,100.726
1501,100.721
1502,100.718
1503,100.719
1504,100.719
1505,100.721
1506,100.72
1507,100.722
1508,100.733
1509,100.745
1510,100.747
1511,100.734
1512,100.728
1513,100.712
1514,100.708
1515,100.704
1516,100.7
1517,100.697
1518,100.686
1519,100.683
1520,100.675
1521,100.668
1522,100.668
1523,100.674
1524,100.674
1525,100.685
1526,100.694
1527,100.702
1528,100.704
1529,100.702
1530,100.702
1531,100.695
1532,100.697
1533,100.699
1534,100.699
1535,100.7
1536,100.702
1537,100.712
1538,100.721
1539,100.73
1540,100.738
1541,100.738
1542,100.74
1543,100.737
1544,100.739
1545,100.75
1546,100.773
1547,100.787
1548,100.795
1549,100.8
1550,100.797
1551,100.8
1552,100.802
1553,100.808
1554,100.814
1555,100.811
1556,100.814
1557,100.809
1558,100.809
1559,100.817
1560,100.815
1561,100.803
1562,100.771
1563,100.762
1564,100.76
1565,100.756
1566,100.752
1567,100.75
1568,100.752
1569,100.747
1570,100.748
1571,100.758
1572,100.753
1573,100.755
1574,100.757
1575,100.751
1576,100.744
1577,100.745
1578,100.747
1579,100.749
1580,100.75
1581,100.746
1582,100.745
1583,100.751
1584,100.768
1585,100.777
1586,100.785
1587,100.788
1588,100.791
1589,100.79
1590,100.783
1591,100.786
1592,100.785
1593,100.784
1594,100.778
1595,100.775
1596,100.778
1597,100.777
1598,100.778
1599,100.78
1600,100.784
1601,100.788
1602,100.789
1603,100.792
1604,100.815
1605,100.826
1606,100.838
1607,100.84
1608,100.854
1609,100.856
1610,100.87
1611,100.88
1612,100.88
1613,100.879
1614,100.887
1615,100.889
1616,100.889
1617,100.891
1618,100.881
1619,100.879
1620,100.879
1621,100.885
1622,100.889
1623,100.89
1624,100.888
1625,100.892
1626,100.898
1627,100.9
1628,100.893
1629,100.874
1630,100.834
1631,100.821
1632,100.813
1633,100.806
1634,100.806
1635,100.802
1636,100.808
1637,100.829
1638,100.84
1639,100.849
1640,100.859
1641,100.859
1642,100.862
1643,100.859
1644,100.859
1645,100.853
1646,100.851
1647,100.845
1648,100.839
1649,100.831
1650,100.829
1651,100.827
1652,100.831
1653,100.832
1654,100.829
1655,100.82
1656,100.813
1657,100.812
1658,100.813
1659,100.818
1660,100.817
